epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,906.1,0.59849,0.6592,0.99579,0.80318,0.70693,0.75998,0.60795,0.76711,1.05554,1.04848,0.000848969,0.000848969,0.000848969
43,927.061,0.60159,0.65405,0.99791,0.86498,0.75944,0.82443,0.66742,0.77523,0.8512,1.04312,0.000834822,0.000834822,0.000834822
44,948.148,0.59815,0.64803,0.99863,0.80595,0.77599,0.8105,0.65135,0.75905,0.87443,1.04971,0.000820675,0.000820675,0.000820675
45,969.149,0.60256,0.63881,0.99997,0.82132,0.76336,0.79836,0.64166,0.77311,0.93754,1.03701,0.000806528,0.000806528,0.000806528
46,990.096,0.57266,0.60667,0.97883,0.87339,0.73638,0.82256,0.65547,0.74681,0.85289,1.0071,0.00079238,0.00079238,0.00079238
47,1011.01,0.58126,0.60948,0.99052,0.87369,0.75596,0.82094,0.67233,0.70686,0.8274,0.95744,0.000778233,0.000778233,0.000778233
48,1032.03,0.59423,0.64316,0.9988,0.90746,0.74641,0.84752,0.69616,0.67884,0.77183,0.96968,0.000764086,0.000764086,0.000764086
49,1053.04,0.57735,0.63359,0.99371,0.86715,0.76996,0.82965,0.68354,0.68308,0.83645,0.97676,0.000749939,0.000749939,0.000749939
50,1073.96,0.55647,0.59334,0.98847,0.8521,0.78518,0.8255,0.68224,0.69441,0.79526,0.98122,0.000735792,0.000735792,0.000735792
51,1094.95,0.55961,0.6013,0.99079,0.8908,0.75971,0.8288,0.68595,0.69338,0.80024,0.989,0.000721645,0.000721645,0.000721645
52,1115.97,0.57475,0.61272,0.98801,0.86043,0.7453,0.82817,0.67671,0.70665,0.81353,0.98435,0.000707498,0.000707498,0.000707498
53,1136.98,0.56439,0.60204,0.97946,0.86004,0.75578,0.83525,0.69305,0.67228,0.78614,0.97044,0.000693351,0.000693351,0.000693351
54,1157.98,0.56305,0.57719,0.97351,0.84819,0.76816,0.83288,0.6875,0.69162,0.76389,0.97229,0.000679204,0.000679204,0.000679204
55,1178.94,0.5591,0.58601,0.98406,0.87584,0.77388,0.84314,0.69965,0.66259,0.76932,0.95085,0.000665057,0.000665057,0.000665057
56,1199.98,0.54174,0.57774,0.97187,0.87303,0.78409,0.84829,0.70619,0.66156,0.7542,0.96712,0.000650909,0.000650909,0.000650909
57,1221.01,0.55651,0.5932,0.97545,0.87651,0.7815,0.85455,0.71453,0.6503,0.75772,0.93548,0.000636762,0.000636762,0.000636762
58,1242.01,0.53377,0.5709,0.96586,0.87787,0.79818,0.86001,0.70542,0.66122,0.75577,0.9554,0.000622615,0.000622615,0.000622615
59,1262.96,0.54344,0.57263,0.98113,0.89399,0.78396,0.84367,0.6994,0.65907,0.7531,0.94718,0.000608468,0.000608468,0.000608468
